UTMMAP1,UTMMAP2,UTMMAP3,UTMMAP4,UTMSCALE,LAND_NO,EVAPRICE
5432,1,0000,042,5000,1,7500.00000000
5432,1,0000,080,5000,1,7500.00000000
5432,1,0624,02,2000,4,3200.00000000
5432,1,0624,04,2000,72,3200.00000000
5432,1,0624,04,2000,107,2800.00000000
5432,1,0624,04,2000,110,3200.00000000
5432,1,0824,00,4000,29,3200.00000000
5432,1,1226,02,2000,63,1150.00000000
5432,1,1226,02,2000,94,3200.00000000
5432,1,1226,04,2000,11,3200.00000000
5432,1,1424,00,4000,5,3500.00000000
5432,1,1426,01,2000,65,2800.00000000
5432,1,1426,01,2000,82,3200.00000000
5432,1,1624,02,2000,7,3750.00000000
5432,1,1626,01,2000,68,3200.00000000
5432,1,1626,01,2000,71,3200.00000000
5432,1,1626,03,2000,1,1150.00000000
5432,1,2206,00,4000,71,2450.00000000
5432,1,2206,00,4000,79,6750.00000000
5432,1,2206,00,4000,100,2450.00000000
5432,1,2406,00,4000,42,2750.00000000
5432,1,2406,00,4000,45,2750.00000000
5432,1,2406,00,4000,46,2350.00000000
5432,1,2406,00,4000,128,3700.00000000
5432,1,2406,00,4000,137,1700.00000000
5432,1,2406,00,4000,159,1900.00000000
5432,1,2406,00,4000,171,3150.00000000
5432,1,2408,00,4000,8,3700.00000000
5432,1,2408,00,4000,15,1000.00000000
5432,1,2408,00,4000,18,1000.00000000
5432,1,2606,00,4000,56,3700.00000000
5432,1,2606,00,4000,150,2150.00000000
5432,1,2606,00,4000,165,1850.00000000
5432,1,2606,00,4000,195,1300.00000000
5432,1,2606,00,4000,200,2450.00000000
5432,1,2606,00,4000,225,3000.00000000
5433,1,0000,006,5000,141,130.00000000
5433,1,0000,011,5000,133,130.00000000
5433,1,0000,012,5000,73,130.00000000
5433,1,0000,012,5000,130,220.00000000
5433,1,0000,014,5000,36,130.00000000
5433,1,0000,026,5000,29,190.00000000
5433,1,0000,026,5000,32,190.00000000
5433,1,0000,027,5000,89,130.00000000
5433,1,0000,055,5000,3,260.00000000
5433,1,0000,055,5000,7,180.00000000
5433,1,0000,063,5000,84,330.00000000
5433,1,0000,064,5000,17,330.00000000
5433,1,0000,065,5000,15,380.00000000
5433,1,0000,066,5000,68,250.00000000
5433,1,0000,066,5000,89,380.00000000
5433,1,0000,077,5000,10,330.00000000
5433,1,0000,078,5000,43,250.00000000
5433,1,0000,078,5000,67,380.00000000
5433,1,0000,079,5000,31,330.00000000
5433,1,0000,079,5000,60,330.00000000
5433,1,0000,092,5000,249,500.00000000
5433,1,0000,094,5000,44,250.00000000
5433,1,0000,106,5000,168,400.00000000
5433,1,0000,106,5000,204,5800.00000000
5433,1,0000,106,5000,210,5800.00000000
5433,1,0000,108,5000,43,1150.00000000
5433,1,0000,108,5000,51,250.00000000
5433,1,0000,109,5000,12,2450.00000000
5433,1,0000,109,5000,83,380.00000000
5433,1,0000,110,5000,4,330.00000000
5433,1,0000,110,5000,70,380.00000000
5433,1,0000,123,5000,7,670.00000000
5433,1,0000,123,5000,58,350.00000000
5433,1,0000,124,5000,51,2500.00000000
5433,1,0000,136,5000,15,250.00000000
5433,1,0000,137,5000,2,250.00000000
5433,1,0000,139,5000,70,340.00000000
5433,1,0000,140,5000,11,250.00000000
5433,1,0000,140,5000,14,250.00000000
5433,1,0000,147,5000,83,480.00000000
5433,1,0000,151,5000,30,530.00000000
5433,1,0000,152,5000,37,530.00000000
5433,1,0000,152,5000,67,450.00000000
5433,1,0000,153,5000,37,250.00000000
5433,1,0000,166,5000,5,410.00000000
5433,1,0000,166,5000,16,500.00000000
