UTMMAP1,UTMMAP2,UTMMAP3,UTMMAP4,UTMSCALE,LAND_NO,EVAPRICE
4544,1,0000,009,5000,97,100.00000000
4544,1,0000,023,5000,89,100.00000000
4544,1,0000,036,5000,8,100.00000000
4544,1,0000,036,5000,139,100.00000000
4544,1,0000,036,5000,196,130.00000000
4544,1,0000,036,5000,229,100.00000000
4544,1,0000,049,5000,28,100.00000000
4544,1,0000,049,5000,31,100.00000000
4544,1,0000,049,5000,34,100.00000000
4544,1,0000,049,5000,54,100.00000000
4544,1,0000,049,5000,57,100.00000000
4544,1,0000,050,5000,17,190.00000000
4544,1,0000,050,5000,23,100.00000000
4544,1,8684,00,4000,23,190.00000000
4544,1,8684,00,4000,55,190.00000000
4544,1,8684,00,4000,78,190.00000000
4544,1,8684,00,4000,113,190.00000000
4544,1,8684,00,4000,202,500.00000000
4544,1,8684,00,4000,208,380.00000000
4544,1,8684,00,4000,232,100.00000000
4544,1,8684,00,4000,235,100.00000000
4544,1,8684,00,4000,238,100.00000000
4544,1,8684,00,4000,267,100.00000000
4544,1,8686,00,4000,4,190.00000000
4544,1,8686,00,4000,42,100.00000000
4544,1,8686,00,4000,62,100.00000000
4544,1,8686,00,4000,90,500.00000000
4544,1,8688,00,4000,14,100.00000000
4544,1,8688,00,4000,40,150.00000000
4544,1,8688,00,4000,43,150.00000000
4544,1,8688,00,4000,49,100.00000000
4544,1,8688,00,4000,66,150.00000000
4544,1,8688,00,4000,72,150.00000000
4544,1,8884,13,1000,4,100.00000000
4544,1,8884,13,1000,7,100.00000000
4545,1,0000,009,5000,9,100.00000000
4545,1,0000,009,5000,28,200.00000000
4545,1,0000,009,5000,35,100.00000000
4545,1,0000,009,5000,42,180.00000000
4545,1,0000,023,5000,23,250.00000000
4545,1,0000,023,5000,62,100.00000000
4545,1,0000,023,5000,149,100.00000000
4545,1,0000,079,5000,4,100.00000000
4545,1,0000,107,5000,26,100.00000000
4545,1,0000,107,5000,32,100.00000000
4545,1,0000,108,5000,20,210.00000000
4545,1,0000,109,5000,72,600.00000000
4545,1,0000,135,5000,35,190.00000000
4545,1,0000,136,5000,24,200.00000000
4545,1,8220,00,4000,34,200.00000000
4545,1,8242,02,2000,8,100.00000000
4545,1,8244,02,2000,9,200.00000000
4545,1,8420,00,4000,8,100.00000000
4545,1,8420,00,4000,11,100.00000000
4545,1,8422,00,4000,2,150.00000000
4545,1,8422,00,4000,5,100.00000000
4545,1,8422,00,4000,37,100.00000000
4545,1,8422,00,4000,40,100.00000000
4545,1,8422,00,4000,95,100.00000000
4545,1,8422,00,4000,101,100.00000000
4545,1,8422,00,4000,214,100.00000000
4545,1,8422,00,4000,220,100.00000000
4545,1,8422,03,1000,2,200.00000000
4545,1,8422,12,1000,2,250.00000000
4545,1,8422,12,1000,5,250.00000000
4545,1,8422,12,1000,25,250.00000000
4545,1,8424,14,1000,48,200.00000000
4545,1,8424,14,1000,54,200.00000000
4545,1,8424,15,1000,45,200.00000000
4545,1,8428,16,1000,2,220.00000000
4545,1,8428,16,1000,37,380.00000000
4545,1,8432,00,4000,2,380.00000000
4545,1,8432,00,4000,41,320.00000000
4545,1,8432,00,4000,58,100.00000000
4545,1,8432,00,4000,86,380.00000000
4545,1,8432,07,1000,7,430.00000000
4545,1,8432,07,1000,54,380.00000000
4545,1,8432,07,1000,57,380.00000000
4545,1,8432,08,1000,3,430.00000000
4545,1,8432,08,1000,9,430.00000000
4545,1,8432,08,1000,38,430.00000000
4545,1,8432,11,1000,5,430.00000000
4545,1,8432,11,1000,34,430.00000000
4545,1,8432,12,1000,18,430.00000000
4545,1,8432,12,1000,21,430.00000000
4545,1,8442,06,1000,47,250.00000000
4545,1,8442,06,1000,73,250.00000000
4545,1,8442,06,1000,79,250.00000000
