UTMMAP1,UTMMAP2,UTMMAP3,UTMMAP4,UTMSCALE,LAND_NO,EVAPRICE
4935,1,0068,00,4000,4,300.00000000
4935,1,0068,00,4000,22,150.00000000
4935,1,0068,00,4000,65,300.00000000
4935,1,0068,00,4000,69,570.00000000
4935,1,0068,00,4000,83,420.00000000
4935,1,0068,00,4000,100,300.00000000
4935,1,0068,00,4000,112,150.00000000
4935,1,0070,00,4000,26,300.00000000
4935,1,0070,00,4000,32,150.00000000
4935,1,0070,00,4000,52,300.00000000
4935,1,0070,00,4000,67,150.00000000
4935,1,0070,00,4000,87,300.00000000
4935,1,0070,00,4000,93,150.00000000
4935,1,0070,00,4000,125,150.00000000
4935,1,0070,00,4000,128,150.00000000
4935,1,0072,00,4000,13,410.00000000
4935,1,0072,00,4000,26,200.00000000
4935,1,0072,00,4000,56,150.00000000
4935,1,0072,00,4000,91,1000.00000000
4935,1,0072,00,4000,108,300.00000000
4935,1,0072,00,4000,117,150.00000000
4935,1,0072,00,4000,123,150.00000000
4935,1,0072,00,4000,146,150.00000000
4935,1,0072,00,4000,193,700.00000000
4935,1,0074,00,4000,4,330.00000000
4935,1,0074,00,4000,16,500.00000000
4935,1,0074,00,4000,47,750.00000000
4935,1,0074,00,4000,70,410.00000000
4935,1,0074,00,4000,82,750.00000000
4935,1,0074,00,4000,83,630.00000000
4935,1,0074,00,4000,99,410.00000000
4935,1,0074,00,4000,102,410.00000000
4935,1,0076,00,4000,30,1050.00000000
4935,1,0076,00,4000,47,650.00000000
4935,1,0076,00,4000,51,300.00000000
4935,1,0076,00,4000,69,1200.00000000
4935,1,0076,00,4000,75,700.00000000
4935,1,0076,00,4000,78,700.00000000
4935,1,0076,00,4000,89,390.00000000
4935,1,0076,00,4000,95,390.00000000
4935,1,0076,00,4000,117,1050.00000000
4935,1,0076,00,4000,124,1500.00000000
4935,1,0076,00,4000,150,790.00000000
4935,1,0076,00,4000,174,2450.00000000
4935,1,0076,00,4000,203,400.00000000
4935,1,0076,00,4000,215,5700.00000000
4935,1,0076,00,4000,232,900.00000000
4935,1,0076,00,4000,235,900.00000000
4935,1,0076,00,4000,272,1500.00000000
4935,1,0076,00,4000,295,300.00000000
4935,1,0076,00,4000,297,560.00000000
4935,1,0076,00,4000,315,940.00000000
4935,1,0076,00,4000,319,1300.00000000
4935,1,0076,00,4000,328,400.00000000
4935,1,0076,00,4000,333,1500.00000000
4935,1,0076,00,4000,368,150.00000000
4935,1,0076,00,4000,415,800.00000000
4935,1,0076,00,4000,454,880.00000000
4935,1,0076,00,4000,501,300.00000000
4935,1,0076,00,4000,512,1050.00000000
4935,1,0076,00,4000,513,150.00000000
4935,1,0076,01,2000,52,300.00000000
4935,1,0076,11,1000,40,800.00000000
4935,1,0076,11,1000,43,300.00000000
4935,1,0078,00,4000,20,720.00000000
4935,1,0078,00,4000,50,900.00000000
4935,1,0078,00,4000,60,1050.00000000
4935,1,0078,00,4000,194,550.00000000
4935,1,0078,00,4000,204,900.00000000
4935,1,0078,00,4000,223,550.00000000
4935,1,0078,00,4000,255,2200.00000000
4935,1,0078,00,4000,287,550.00000000
4935,1,0078,00,4000,327,1050.00000000
4935,1,0078,00,4000,352,900.00000000
4935,1,0078,00,4000,356,1050.00000000
4935,1,0078,00,4000,367,750.00000000
4935,1,0078,00,4000,380,550.00000000
4935,1,0078,00,4000,483,750.00000000
4935,1,0078,00,4000,504,1050.00000000
4935,1,0078,00,4000,554,550.00000000
4935,1,0078,00,4000,557,550.00000000
4935,1,0078,00,4000,562,1050.00000000
4935,1,0078,00,4000,565,1050.00000000
4935,1,0078,00,4000,592,550.00000000
4935,1,0078,00,4000,621,550.00000000
4935,1,0078,00,4000,638,2500.00000000
4935,1,0078,00,4000,676,550.00000000
4935,1,0078,00,4000,687,1050.00000000
4935,1,0078,00,4000,690,1050.00000000
4935,1,0078,00,4000,714,720.00000000
4935,1,0078,00,4000,755,1200.00000000
4935,1,0078,00,4000,781,1200.00000000
4935,1,0068,00,4000,28,150.00000000
4935,1,0068,00,4000,34,150.00000000
4935,1,0068,00,4000,60,150.00000000
4935,1,0070,00,4000,29,150.00000000
4935,1,0070,00,4000,58,150.00000000
4935,1,0070,00,4000,69,300.00000000
4935,1,0070,00,4000,98,300.00000000
4935,1,0070,00,4000,133,300.00000000
4935,1,0072,00,4000,73,150.00000000
4935,1,0072,00,4000,88,1000.00000000
4935,1,0072,00,4000,90,300.00000000
4935,1,0072,00,4000,125,300.00000000
4935,1,0072,00,4000,134,150.00000000
4935,1,0072,00,4000,140,150.00000000
4935,1,0072,00,4000,166,150.00000000
4935,1,0072,00,4000,172,150.00000000
4935,1,0074,00,4000,50,330.00000000
4935,1,0074,00,4000,56,410.00000000
4935,1,0074,00,4000,76,410.00000000
4935,1,0076,00,4000,16,300.00000000
4935,1,0076,00,4000,39,1050.00000000
4935,1,0076,00,4000,100,300.00000000
4935,1,0076,00,4000,103,300.00000000
4935,1,0076,00,4000,108,980.00000000
4935,1,0076,00,4000,131,5200.00000000
4935,1,0076,00,4000,144,1500.00000000
4935,1,0076,00,4000,147,1200.00000000
4935,1,0076,00,4000,152,560.00000000
4935,1,0076,00,4000,191,490.00000000
4935,1,0076,00,4000,193,5250.00000000
4935,1,0076,00,4000,260,880.00000000
4935,1,0076,00,4000,269,1200.00000000
4935,1,0076,00,4000,345,900.00000000
4935,1,0076,00,4000,347,300.00000000
4935,1,0076,00,4000,399,300.00000000
4935,1,0076,00,4000,408,1050.00000000
4935,1,0076,00,4000,432,900.00000000
4935,1,0076,00,4000,449,150.00000000
4935,1,0076,00,4000,460,300.00000000
4935,1,0076,00,4000,476,700.00000000
4935,1,0076,00,4000,540,800.00000000
4935,1,0076,01,2000,2,300.00000000
4935,1,0076,01,2000,5,300.00000000
4935,1,0076,08,1000,3,790.00000000
4935,1,0076,08,1000,9,1500.00000000
4935,1,0076,11,1000,23,800.00000000
4935,1,0078,00,4000,37,1050.00000000
4935,1,0078,00,4000,40,1050.00000000
4935,1,0078,00,4000,63,1050.00000000
4935,1,0078,00,4000,70,900.00000000
4935,1,0078,00,4000,78,1200.00000000
4935,1,0078,00,4000,90,550.00000000
4935,1,0078,00,4000,102,900.00000000
4935,1,0078,00,4000,130,1050.00000000
4935,1,0078,00,4000,136,1200.00000000
4935,1,0078,00,4000,142,1200.00000000
4935,1,0078,00,4000,160,900.00000000
4935,1,0078,00,4000,215,720.00000000
4935,1,0078,00,4000,232,550.00000000
4935,1,0078,00,4000,270,2200.00000000
4935,1,0078,00,4000,366,720.00000000
4935,1,0078,00,4000,415,550.00000000
4935,1,0078,00,4000,447,550.00000000
4935,1,0078,00,4000,451,1300.00000000
4935,1,0078,00,4000,508,550.00000000
4935,1,0078,00,4000,528,1200.00000000
4935,1,0078,00,4000,531,1200.00000000
4935,1,0078,00,4000,537,550.00000000
4935,1,0078,00,4000,543,550.00000000
4935,1,0078,00,4000,596,800.00000000
4935,1,0078,00,4000,668,720.00000000
4935,1,0078,00,4000,670,1050.00000000
4935,1,0078,00,4000,778,1200.00000000
4935,1,0078,00,4000,801,1200.00000000
4935,1,0078,00,4000,804,1200.00000000
4935,1,0078,00,4000,836,1200.00000000
4935,1,0078,00,4000,870,550.00000000
4935,1,0078,00,4000,902,550.00000000
4935,1,0078,00,4000,922,550.00000000
4935,1,0078,00,4000,969,1050.00000000
4935,1,0080,00,4000,23,1200.00000000
4935,1,0080,00,4000,29,550.00000000
4935,1,0080,00,4000,59,800.00000000
4935,1,0080,00,4000,61,550.00000000
4935,1,0080,00,4000,87,1200.00000000
4935,1,0080,00,4000,94,1300.00000000
4935,1,0080,00,4000,113,1500.00000000
4935,1,0080,00,4000,171,1500.00000000
4935,1,0080,00,4000,174,1500.00000000
4935,1,0080,00,4000,209,550.00000000
4935,1,0080,00,4000,212,550.00000000
4935,1,0080,00,4000,232,1200.00000000
4935,1,0068,00,4000,13,150.00000000
4935,1,0068,00,4000,48,490.00000000
4935,1,0068,00,4000,74,150.00000000
4935,1,0070,00,4000,9,300.00000000
4935,1,0070,00,4000,90,300.00000000
4935,1,0070,00,4000,121,150.00000000
4935,1,0072,00,4000,17,410.00000000
4935,1,0072,00,4000,82,300.00000000
4935,1,0072,00,4000,129,380.00000000
4935,1,0072,00,4000,149,300.00000000
4935,1,0074,00,4000,19,400.00000000
4935,1,0074,00,4000,26,330.00000000
4935,1,0074,00,4000,29,330.00000000
4935,1,0074,00,4000,71,400.00000000
4935,1,0074,00,4000,103,410.00000000
4935,1,0074,00,4000,141,150.00000000
4935,1,0074,00,4000,142,880.00000000
4935,1,0076,00,4000,36,1200.00000000
4935,1,0076,00,4000,62,1200.00000000
4935,1,0076,00,4000,66,420.00000000
4935,1,0076,00,4000,68,1200.00000000
4935,1,0076,00,4000,79,700.00000000
4935,1,0076,00,4000,98,300.00000000
4935,1,0076,00,4000,126,1200.00000000
4935,1,0076,00,4000,167,2450.00000000
4935,1,0076,00,4000,173,2450.00000000
4935,1,0076,00,4000,223,710.00000000
4935,1,0076,00,4000,293,550.00000000
4935,1,0076,00,4000,332,1500.00000000
4935,1,0076,00,4000,339,300.00000000
4935,1,0076,00,4000,400,300.00000000
4935,1,0076,00,4000,443,390.00000000
4935,1,0076,00,4000,463,3400.00000000
4935,1,0076,00,4000,474,800.00000000
4935,1,0076,00,4000,547,1200.00000000
4935,1,0076,01,2000,3,300.00000000
4935,1,0076,01,2000,19,1050.00000000
4935,1,0076,08,1000,17,1500.00000000
4935,1,0078,00,4000,2,2200.00000000
4935,1,0078,00,4000,15,550.00000000
4935,1,0078,00,4000,44,550.00000000
4935,1,0078,00,4000,54,1200.00000000
4935,1,0078,00,4000,114,720.00000000
4935,1,0078,00,4000,181,720.00000000
4935,1,0078,00,4000,224,550.00000000
4935,1,0078,00,4000,230,550.00000000
4935,1,0078,00,4000,237,1000.00000000
4935,1,0078,00,4000,244,880.00000000
4935,1,0078,00,4000,246,1000.00000000
4935,1,0078,00,4000,384,550.00000000
4935,1,0078,00,4000,410,550.00000000
4935,1,0078,00,4000,413,550.00000000
4935,1,0078,00,4000,416,550.00000000
4935,1,0078,00,4000,437,790.00000000
4935,1,0078,00,4000,468,550.00000000
4935,1,0078,00,4000,501,1050.00000000
4935,1,0078,00,4000,545,1200.00000000
4935,1,0078,00,4000,622,550.00000000
4935,1,0078,00,4000,657,550.00000000
4935,1,0078,00,4000,681,790.00000000
4935,1,0078,00,4000,682,550.00000000
4935,1,0078,00,4000,695,720.00000000
4935,1,0078,00,4000,737,600.00000000
4935,1,0078,00,4000,757,1200.00000000
4935,1,0078,00,4000,771,1050.00000000
4935,1,0078,00,4000,777,1200.00000000
4935,1,0078,00,4000,780,1200.00000000
4935,1,0078,00,4000,809,1200.00000000
4935,1,0078,00,4000,812,1200.00000000
4935,1,0078,00,4000,824,550.00000000
4935,1,0078,00,4000,862,550.00000000
4935,1,0078,00,4000,885,550.00000000
4935,1,0078,00,4000,923,550.00000000
4935,1,0078,00,4000,984,550.00000000
4935,1,0078,00,4000,992,1200.00000000
4935,1,0078,00,4000,997,720.00000000
4935,1,0078,00,4000,1007,550.00000000
4935,1,0078,00,4000,1042,550.00000000
4935,1,0078,00,4000,1065,550.00000000
4935,1,0078,03,2000,12,550.00000000
4935,1,0078,03,2000,40,900.00000000
4935,1,0078,03,2000,48,1200.00000000
4935,1,0078,03,2000,72,900.00000000
4935,1,0078,03,2000,94,800.00000000
4935,1,0078,03,2000,96,550.00000000
4935,1,0080,00,4000,5,1200.00000000
4935,1,0080,00,4000,16,1050.00000000
4935,1,0080,00,4000,85,550.00000000
4935,1,0080,00,4000,90,750.00000000
4935,1,0080,00,4000,98,1150.00000000
4935,1,0080,00,4000,137,980.00000000
4935,1,0080,00,4000,141,940.00000000
4935,1,0068,00,4000,6,300.00000000
4935,1,0068,00,4000,18,150.00000000
4935,1,0068,00,4000,32,300.00000000
4935,1,0068,00,4000,47,150.00000000
4935,1,0068,00,4000,64,300.00000000
4935,1,0068,00,4000,67,300.00000000
4935,1,0070,00,4000,1,300.00000000
4935,1,0070,00,4000,143,300.00000000
4935,1,0072,00,4000,45,300.00000000
4935,1,0072,00,4000,48,300.00000000
4935,1,0072,00,4000,118,150.00000000
4935,1,0072,00,4000,144,300.00000000
4935,1,0072,00,4000,152,630.00000000
4935,1,0074,00,4000,92,410.00000000
4935,1,0074,00,4000,127,330.00000000
4935,1,0076,00,4000,29,1050.00000000
4935,1,0076,00,4000,52,300.00000000
4935,1,0076,00,4000,55,1050.00000000
4935,1,0076,00,4000,70,1200.00000000
4935,1,0076,00,4000,77,700.00000000
4935,1,0076,00,4000,135,8000.00000000
4935,1,0076,00,4000,138,8000.00000000
4935,1,0076,00,4000,163,1500.00000000
4935,1,0076,00,4000,256,150.00000000
4935,1,0076,00,4000,330,620.00000000
4935,1,0076,00,4000,372,1200.00000000
4935,1,0076,00,4000,378,1200.00000000
4935,1,0076,00,4000,430,1500.00000000
4935,1,0076,00,4000,439,1200.00000000
4935,1,0076,00,4000,488,940.00000000
4935,1,0076,00,4000,497,550.00000000
4935,1,0076,00,4000,508,1050.00000000
4935,1,0076,01,2000,18,1050.00000000
4935,1,0076,01,2000,33,1200.00000000
4935,1,0076,01,2000,53,300.00000000
4935,1,0076,07,1000,4,810.00000000
4935,1,0076,11,1000,30,1500.00000000
4935,1,0078,00,4000,8,750.00000000
4935,1,0078,00,4000,16,550.00000000
4935,1,0078,00,4000,19,720.00000000
4935,1,0078,00,4000,48,720.00000000
4935,1,0078,00,4000,71,1200.00000000
4935,1,0078,00,4000,76,1050.00000000
4935,1,0078,00,4000,155,1200.00000000
4935,1,0078,00,4000,173,900.00000000
4935,1,0078,00,4000,176,720.00000000
4935,1,0078,00,4000,190,550.00000000
4935,1,0078,00,4000,213,790.00000000
4935,1,0078,00,4000,251,550.00000000
4935,1,0078,00,4000,253,2500.00000000
4935,1,0078,00,4000,254,1000.00000000
4935,1,0078,00,4000,295,900.00000000
4935,1,0078,00,4000,309,550.00000000
4935,1,0078,00,4000,312,550.00000000
4935,1,0078,00,4000,317,1050.00000000
4935,1,0078,00,4000,349,1050.00000000
4935,1,0078,00,4000,368,750.00000000
4935,1,0078,00,4000,370,550.00000000
4935,1,0078,00,4000,405,550.00000000
4935,1,0078,00,4000,440,720.00000000
4935,1,0078,00,4000,448,1050.00000000
4935,1,0078,00,4000,484,750.00000000
4935,1,0078,00,4000,507,900.00000000
4935,1,0078,00,4000,521,550.00000000
4935,1,0078,00,4000,538,1050.00000000
4935,1,0078,00,4000,550,550.00000000
4935,1,0078,00,4000,553,550.00000000
4935,1,0078,00,4000,561,1050.00000000
4935,1,0078,00,4000,567,1050.00000000
4935,1,0078,00,4000,573,1200.00000000
4935,1,0078,00,4000,579,1200.00000000
4935,1,0078,00,4000,611,550.00000000
4935,1,0078,00,4000,614,550.00000000
4935,1,0078,00,4000,640,1200.00000000
4935,1,0078,00,4000,646,550.00000000
4935,1,0078,00,4000,649,550.00000000
4935,1,0078,00,4000,732,550.00000000
4935,1,0078,00,4000,763,800.00000000
4935,1,0078,00,4000,827,800.00000000
4935,1,0078,00,4000,830,800.00000000
4935,1,0078,00,4000,909,550.00000000
4935,1,0078,00,4000,938,550.00000000
4935,1,0078,00,4000,939,1200.00000000
4935,1,0078,00,4000,967,550.00000000
4935,1,0078,00,4000,980,720.00000000
4935,1,0078,00,4000,999,550.00000000
4935,1,0078,00,4000,1005,550.00000000
4935,1,0078,00,4000,1028,550.00000000
4935,1,0078,00,4000,1066,550.00000000
4935,1,0078,00,4000,1092,550.00000000
4935,1,0078,00,4000,1098,550.00000000
4935,1,0078,03,2000,36,550.00000000
4935,1,0068,00,4000,14,150.00000000
4935,1,0068,00,4000,17,150.00000000
4935,1,0068,00,4000,40,150.00000000
4935,1,0068,00,4000,82,490.00000000
4935,1,0068,00,4000,99,300.00000000
4935,1,0070,00,4000,5,300.00000000
4935,1,0070,00,4000,25,300.00000000
4935,1,0070,00,4000,66,300.00000000
4935,1,0070,00,4000,114,150.00000000
4935,1,0072,00,4000,21,410.00000000
4935,1,0072,00,4000,49,300.00000000
4935,1,0072,00,4000,84,300.00000000
4935,1,0072,00,4000,89,1000.00000000
4935,1,0072,00,4000,138,150.00000000
4935,1,0072,00,4000,145,300.00000000
4935,1,0074,00,4000,17,500.00000000
4935,1,0074,00,4000,20,400.00000000
4935,1,0074,00,4000,22,330.00000000
4935,1,0074,00,4000,28,330.00000000
4935,1,0074,00,4000,37,700.00000000
4935,1,0074,00,4000,48,750.00000000
4935,1,0074,00,4000,104,410.00000000
4935,1,0076,00,4000,1,300.00000000
4935,1,0076,00,4000,4,300.00000000
4935,1,0076,00,4000,27,300.00000000
4935,1,0076,00,4000,32,1200.00000000
4935,1,0076,00,4000,54,1050.00000000
4935,1,0076,00,4000,65,300.00000000
4935,1,0076,00,4000,83,1050.00000000
4935,1,0076,00,4000,94,300.00000000
4935,1,0076,00,4000,115,1050.00000000
4935,1,0076,00,4000,121,990.00000000
4935,1,0076,00,4000,122,1200.00000000
4935,1,0076,00,4000,155,300.00000000
4935,1,0076,00,4000,204,550.00000000
4935,1,0076,00,4000,224,710.00000000
4935,1,0076,00,4000,270,150.00000000
4935,1,0076,00,4000,335,300.00000000
4935,1,0076,00,4000,357,1500.00000000
4935,1,0076,00,4000,389,1500.00000000
4935,1,0076,00,4000,391,400.00000000
4935,1,0076,00,4000,393,300.00000000
4935,1,0076,00,4000,417,800.00000000
4935,1,0076,00,4000,447,150.00000000
4935,1,0076,00,4000,450,150.00000000
4935,1,0076,00,4000,466,980.00000000
4935,1,0076,00,4000,472,980.00000000
4935,1,0076,00,4000,510,1050.00000000
4935,1,0076,00,4000,515,550.00000000
4935,1,0076,00,4000,539,800.00000000
4935,1,0076,11,1000,15,1200.00000000
4935,1,0076,11,1000,24,1500.00000000
4935,1,0078,00,4000,46,1050.00000000
4935,1,0078,00,4000,107,1050.00000000
