UTMMAP1,UTMMAP2,UTMMAP3,UTMMAP4,UTMSCALE,LAND_NO,EVAPRICE
4627,1,0000,008,5000,27,130.00000000
4627,1,0000,012,5000,9,130.00000000
4627,1,0000,034,5000,17,130.00000000
4627,1,0000,034,5000,76,170.00000000
4627,1,0000,037,5000,12,310.00000000
4627,1,0000,048,5000,75,170.00000000
4627,1,0000,049,5000,42,310.00000000
4627,1,0000,049,5000,45,310.00000000
4627,1,0000,049,5000,54,750.00000000
4627,1,0000,050,5000,2,310.00000000
4627,1,0000,050,5000,40,750.00000000
4627,1,0000,050,5000,60,130.00000000
4627,1,0000,060,5000,5,170.00000000
4627,1,0000,060,5000,33,130.00000000
4627,1,0000,060,5000,75,400.00000000
4627,1,0000,060,5000,83,750.00000000
4627,1,0000,060,5000,92,170.00000000
4627,1,0000,061,5000,96,170.00000000
4627,1,0000,062,5000,30,170.00000000
4627,1,0000,062,5000,35,130.00000000
4627,1,0000,062,5000,42,400.00000000
4627,1,0000,072,5000,5,130.00000000
4627,1,0000,072,5000,28,130.00000000
4627,1,0000,073,5000,9,130.00000000
4627,1,0000,073,5000,10,170.00000000
4627,1,0000,073,5000,38,130.00000000
4627,1,0000,073,5000,44,310.00000000
4627,1,0000,073,5000,86,430.00000000
4627,1,0000,073,5000,99,130.00000000
4627,1,0000,073,5000,102,130.00000000
4627,1,0000,073,5000,215,560.00000000
4627,1,0000,073,5000,225,170.00000000
4627,1,0000,085,5000,51,260.00000000
4627,1,0000,085,5000,83,130.00000000
4627,1,0000,085,5000,125,1150.00000000
4627,1,0000,085,5000,144,130.00000000
4627,1,0000,085,5000,147,130.00000000
4627,1,0000,085,5000,205,130.00000000
4627,1,0000,085,5000,215,1150.00000000
4627,1,0000,086,5000,32,130.00000000
4627,1,0000,086,5000,70,130.00000000
4627,1,0000,086,5000,93,130.00000000
4627,1,0000,086,5000,94,170.00000000
4627,1,0000,086,5000,120,330.00000000
4627,1,0000,086,5000,163,350.00000000
